"affy_hg_u133a_2"	"entrezgene"
"208750_s_at"	100500810
"219474_at"	79669
"222195_s_at"	51531
"47530_at"	51531
"213514_s_at"	1729
"209190_s_at"	1729
"215541_s_at"	1729
"222254_at"	NA
"208308_s_at"	2821
"219817_at"	51275
"64432_at"	51275
"212868_x_at"	51275
"205649_s_at"	2243
"205650_s_at"	2243
"220575_at"	100996259
"221842_s_at"	7690
"214741_at"	7690
"221842_s_at"	100506639
"214741_at"	100506639
"213067_at"	4628
"212372_at"	4628
"202106_at"	2802
"219672_at"	51327
"209373_at"	7851
"212833_at"	91137
"204224_s_at"	2643
"207881_at"	NA
"215872_at"	NA
"218535_s_at"	55781
"211829_s_at"	2852
"210640_s_at"	2852
"219359_at"	80162
"214628_at"	4807
"212708_at"	339287
"33579_i_at"	8484
"206167_s_at"	395
"208085_s_at"	395
"206656_s_at"	57136
"207064_s_at"	314
"214772_at"	25758
"204106_at"	7016
"208157_at"	6493
"206558_at"	6493
"218385_at"	55168
"221693_s_at"	55168
"221634_at"	118433
"214777_at"	NA
"205552_s_at"	4938
"202869_at"	4938
"218475_at"	27037
"202591_s_at"	6742
"203615_x_at"	6818
"209607_x_at"	6818
"210580_x_at"	6818
"215299_x_at"	6818
"218317_x_at"	6818
"222094_at"	6818
"203615_x_at"	445329
"209607_x_at"	445329
"210580_x_at"	445329
"215299_x_at"	445329
"218317_x_at"	445329
"222094_at"	445329
"203615_x_at"	101060714
"209607_x_at"	101060714
"210580_x_at"	101060714
"215299_x_at"	101060714
"218317_x_at"	101060714
"222094_at"	101060714
"216977_x_at"	NA
"206055_s_at"	NA
"213194_at"	6091
"216384_x_at"	NA
"203377_s_at"	51362
"203376_at"	51362
"206448_at"	22891
"204502_at"	25939
"204783_at"	4291
"204784_s_at"	4291
"218935_at"	30845
"207427_at"	NA
"202798_at"	10427
"64432_at"	NA
"219817_at"	NA
"214595_at"	NA
"214600_at"	7003
"221935_s_at"	285203
"208480_s_at"	368
"215559_at"	368
"214033_at"	368
"202910_s_at"	976
"219288_at"	57415
"217247_at"	NA
"211068_x_at"	55747
"212929_s_at"	55747
"214946_x_at"	55747
"212370_x_at"	55747
"203258_at"	10589
"219455_at"	79846
"208579_x_at"	NA
"209636_at"	4791
"207535_s_at"	4791
"218217_at"	59342
"207780_at"	1539
"216860_s_at"	10220
"210571_s_at"	8418
"200749_at"	5901
"200750_s_at"	5901
"215358_x_at"	100129482
"202661_at"	3709
"202662_s_at"	3709
"211360_s_at"	3709
"202660_at"	3709
"208670_s_at"	NA
"208669_s_at"	NA
"202728_s_at"	4052
"202729_s_at"	4052
"91816_f_at"	399664
"206285_at"	4867
"217852_s_at"	55207
"207031_at"	579
"211151_x_at"	2688
"206885_x_at"	2688
"205840_x_at"	2688
"208068_x_at"	2688
"208069_x_at"	2688
"206886_x_at"	2688
"207575_at"	653641
"206317_s_at"	11194
"215118_s_at"	NA
"201736_s_at"	10299
"215512_at"	10299
"201737_s_at"	10299
"212498_at"	10299
"215423_at"	10299
"205483_s_at"	9636
"211645_x_at"	NA
"211644_x_at"	NA
"205859_at"	9450
"218072_at"	29099
"202922_at"	2729
"202923_s_at"	2729
"211072_x_at"	NA
"211058_x_at"	NA
"208072_s_at"	8527
"204037_at"	1902
"204038_s_at"	1902
"204036_at"	1902
"207661_s_at"	9644
"213252_at"	9644
"215665_at"	NA
"213106_at"	10396
"210192_at"	10396
"204941_s_at"	222
"204942_s_at"	222
"217735_s_at"	27102
"217736_s_at"	27102
"209030_s_at"	23705
"209031_at"	23705
"209032_s_at"	23705
"205095_s_at"	535
"212383_at"	535
"207833_s_at"	3141
"209399_at"	3141
"202391_at"	10409
"205856_at"	6563
"210301_at"	7498
"219054_at"	NA
"212283_at"	375790
"212285_s_at"	375790
"217419_x_at"	375790
"216819_at"	NA
"217448_s_at"	9878
"201683_x_at"	9878
"201684_s_at"	9878
"201685_s_at"	9878
"210985_s_at"	NA
"204894_s_at"	8639
"201088_at"	NA
"211762_s_at"	NA
"208055_s_at"	26091
"208054_at"	26091
"211348_s_at"	8555
"211347_at"	8555
"208022_s_at"	8555
"221555_x_at"	8555
"221556_at"	8555
"207186_s_at"	NA
"214749_s_at"	NA
"200776_s_at"	NA
"214768_x_at"	NA
"208912_s_at"	NA
"210312_s_at"	90410
"212700_x_at"	440456
"212700_x_at"	100422961
"212700_x_at"	100423004
"211190_x_at"	8832
"205988_at"	8832
"211189_x_at"	8832
"211192_s_at"	8832
"211188_at"	8832
"211191_at"	8832
"222244_s_at"	55000
"212725_s_at"	55000
"212337_at"	55000
"200677_at"	754
"218658_s_at"	93973
"219548_at"	7564
"216401_x_at"	NA
"210125_s_at"	NA
"216196_at"	440362
"216334_s_at"	NA
"212369_at"	171017
"200775_s_at"	NA
"207054_at"	3617
"215176_x_at"	NA
"204141_at"	7280
"213476_x_at"	7280
"202154_x_at"	7280
"209372_x_at"	7280
"208928_at"	5447
"212986_s_at"	11011
"212997_s_at"	11011
"218604_at"	23592
"205865_at"	1820
"210189_at"	3305
"204178_s_at"	10432
"204178_s_at"	101059993
"219229_at"	28232
"210542_s_at"	28232
"222304_x_at"	100509541
"221603_at"	9409
"221604_s_at"	9409
"49878_at"	9409
"215100_at"	84830
"219628_at"	64393
"201263_at"	6897
"208009_s_at"	27237
"210718_s_at"	NA
"202857_at"	10330
"209796_s_at"	10330
"209797_at"	10330
"212383_at"	NA
"200799_at"	3303
"200800_s_at"	3303
"200799_at"	3304
"200800_s_at"	3304
"213997_at"	23359
"216383_at"	NA
"221167_s_at"	83446
"220610_s_at"	9209
"218364_at"	9209
"207575_at"	653643
"217540_at"	91775
"205296_at"	5933
"204158_s_at"	NA
"207427_at"	49
"217811_at"	51714
"206170_at"	154
"212410_at"	221154
"207038_at"	NA
"203477_at"	1306
"206108_s_at"	NA
"220211_at"	NA
"207976_at"	23276
"212882_at"	23276
"221432_s_at"	81894
"217719_at"	51386
"206958_s_at"	NA
"214323_s_at"	NA
"206959_s_at"	NA
"207194_s_at"	3386
"219329_s_at"	51374
"218392_x_at"	94081
"210367_s_at"	NA
"207388_s_at"	NA
"206280_at"	1016
"213510_x_at"	NA
"205267_at"	5450
"217411_s_at"	6239
"203704_s_at"	6239
"205572_at"	285
"211148_s_at"	285
"220027_s_at"	54922
"218877_s_at"	60487
"201774_s_at"	9918
"209438_at"	5256
"209439_s_at"	5256
"221218_s_at"	27010
"205297_s_at"	974
"208695_s_at"	26779
"206181_at"	6504
"200051_at"	9092
"213320_at"	10196
"200736_s_at"	NA
"216508_x_at"	NA
"208350_at"	1446
"217167_x_at"	2710
"214681_at"	2710
"207387_s_at"	2710
"215977_x_at"	2710
"215966_x_at"	2710
"216316_x_at"	2710
"215058_at"	160518
"205300_s_at"	11066
"202741_at"	5567
"202742_s_at"	5567
"215627_at"	NA
"210024_s_at"	NA
"207402_at"	7691
"207192_at"	1775
"218524_at"	1775
"208726_s_at"	NA
"204908_s_at"	602
"204907_s_at"	602
"218900_at"	26504
"202463_s_at"	53615
"41160_at"	53615
"211600_at"	NA
"204240_s_at"	10592
"213253_at"	10592
"204210_s_at"	5130
"204209_at"	5130
"206952_at"	2538
"217828_at"	79811
"201818_at"	79888
"204624_at"	540
"200819_s_at"	NA
"216601_at"	90586
"214893_x_at"	610
"207592_s_at"	610
"216110_x_at"	NA
"201850_at"	822
"208904_s_at"	NA
"218774_at"	28960
"211455_at"	NA
"209429_x_at"	8890
"215482_s_at"	8890
"211950_at"	23352
"215636_at"	23352
"215521_at"	80012
"220328_at"	80012
"218615_s_at"	55254
"200610_s_at"	654321
"222318_at"	388569
"209430_at"	9044
"204118_at"	962
"210750_s_at"	9229
"206489_s_at"	9229
"206490_at"	9229
"213353_at"	23461
"206810_at"	51710
"215359_x_at"	51710
"206810_at"	101060181
"215359_x_at"	101060181
"211419_s_at"	1124
"213385_at"	1124
"207486_x_at"	1124
"214849_at"	222658
"220695_at"	NA
"216517_at"	NA
"219710_at"	79628
"204256_at"	79071
"210868_s_at"	79071
"200013_at"	NA
"204031_s_at"	5094
"213263_s_at"	5094
"213264_at"	5094
"213517_at"	5094
"218285_s_at"	133308
"214896_at"	NA
"215126_at"	NA
"219119_at"	51691
"200074_s_at"	NA
"213588_x_at"	NA
"218030_at"	28964
"214030_at"	131544
"206727_at"	735
"219159_s_at"	57823
"220739_s_at"	26505
"216824_at"	NA
"213942_at"	1953
"206703_at"	1140
"201083_s_at"	NA
"214499_s_at"	NA
"216202_s_at"	9517
"203127_s_at"	9517
"203128_at"	9517
"216203_at"	9517
"203994_s_at"	NA
"203996_s_at"	NA
"216902_s_at"	NA
"216908_x_at"	NA
"213363_at"	340591
"217803_at"	64083
"210320_s_at"	11056
"212834_at"	11056
"213637_at"	11056
"220766_at"	54766
"220023_at"	55911
"204625_s_at"	NA
"220091_at"	11182
"216417_x_at"	3219
"207280_at"	NA
"213204_at"	23113
"213871_s_at"	23113
"219888_at"	6676
"221223_x_at"	1154
"214393_at"	NA
"216638_s_at"	5618
"210476_s_at"	5618
"206346_at"	5618
"211917_s_at"	5618
"219315_s_at"	79652
"203013_at"	11319
"204777_s_at"	4118
"209321_s_at"	109
"209320_at"	109
"218686_s_at"	64285
"217194_at"	NA
"219151_s_at"	11158
"220500_s_at"	11158
"220998_s_at"	81622
"218792_s_at"	54836
"214037_s_at"	28952
"206016_at"	28952
"208676_s_at"	5036
"214794_at"	5036
"203827_at"	55062
"213836_s_at"	55062
"205182_s_at"	25799
"219805_at"	63932
"204369_at"	5290
"221744_at"	10238
"209592_s_at"	10238
"221745_at"	10238
"208755_x_at"	440926
"200080_s_at"	440926
"213828_x_at"	440926
"211940_x_at"	440926
"220157_x_at"	51054
"209844_at"	10481
"218750_at"	684959
"206112_at"	56311
"218750_at"	692063
"217167_x_at"	NA
"207387_s_at"	NA
"215977_x_at"	NA
"215966_x_at"	NA
"216316_x_at"	NA
"207631_at"	10230
"209759_s_at"	1632
"213908_at"	440253
"206162_x_at"	6861
"206161_s_at"	6861
"202011_at"	7082
"214168_s_at"	7082
"207631_at"	NA
"220230_s_at"	51700
"205023_at"	5888
"205024_s_at"	5888
"203034_s_at"	619562
"214604_at"	NA
"204265_s_at"	63940
"214847_s_at"	63940
"222064_s_at"	100885848
"222064_s_at"	100885850
"205569_at"	27074
"209132_s_at"	54939
"206441_s_at"	54939
"209133_s_at"	54939
"218081_at"	54976
"50314_i_at"	54976
"220852_at"	29018
"219337_at"	54991
"219065_s_at"	84661
"205675_at"	4547
"220903_at"	85476
"211916_s_at"	4640
"213739_at"	NA
"220771_at"	NA
"213341_at"	56929
"210613_s_at"	9145
"213854_at"	9145
"204287_at"	9145
"215967_s_at"	4063
"210370_s_at"	4063
"204986_s_at"	9344
"204877_s_at"	9344
"204878_s_at"	9344
"215801_at"	NA
"202293_at"	10274
"202294_at"	10274
"202521_at"	10664
"203852_s_at"	6606
"203852_s_at"	6607
"218445_at"	55506
"203841_x_at"	22924
"203842_s_at"	22924
"214270_s_at"	22924
"218131_s_at"	54815
"221779_at"	85377
"55081_at"	85377
"206981_at"	6329
"206906_at"	7087
"210716_s_at"	6249
"201975_at"	6249
"222149_x_at"	729786
"215509_s_at"	699
"209642_at"	699
"216277_at"	699
"210152_at"	11006
"201898_s_at"	7319
"201899_s_at"	7319
"218104_at"	54881
"200926_at"	6228
"221270_s_at"	81890
"37462_i_at"	268
"209381_x_at"	268
"206516_at"	268
"37462_i_at"	100423031
"209381_x_at"	100423031
"206516_at"	100423031
"207118_s_at"	8510
"210646_x_at"	387841
"212790_x_at"	387841
"221086_s_at"	55079
"221124_s_at"	30813
"36129_at"	9905
"212319_at"	9905
"217538_at"	9905
"219383_at"	79899
"218305_at"	NA
"209150_s_at"	NA
"213338_at"	NA
"205978_at"	9365
"219616_at"	79611
"220380_at"	58511
"208736_at"	NA
"203759_at"	6484
"215710_at"	6484
"203428_s_at"	25842
"203427_at"	25842
"219582_at"	79627
"206954_at"	51352
"201719_s_at"	2037
"201718_s_at"	2037
"208511_at"	26255
"206094_x_at"	54576
"208596_s_at"	54576
"221305_s_at"	54576
"215125_s_at"	54576
"204532_x_at"	54576
"207126_x_at"	54576
"205216_s_at"	350
"205492_s_at"	10570
"205493_s_at"	10570
"208689_s_at"	6185
"213399_x_at"	6185
"213491_x_at"	6185
"213744_at"	26033
"213745_at"	26033
"207267_s_at"	53820
"209366_x_at"	1528
"215726_s_at"	1528
"207843_x_at"	1528
"219556_at"	80178
"210799_at"	3351
"210814_at"	7222
"206425_s_at"	7222
"221460_at"	4993
"205485_at"	6261
"207893_at"	6736
"213771_at"	26145
"220953_s_at"	54545
"218187_s_at"	65265
"216561_x_at"	NA
"201049_s_at"	NA
"211427_s_at"	NA
"200725_x_at"	26778
"221989_at"	26778
"210466_s_at"	NA
"217471_at"	NA
"219526_at"	NA
"218462_at"	80135
"211364_at"	100048912
"205174_s_at"	25797
"200997_at"	5936
"213718_at"	5936
"200997_at"	100526737
"213718_at"	100526737
"221488_s_at"	51596
"209150_s_at"	10548
"209149_s_at"	10548
"218572_at"	10548
"216099_at"	93164
"216098_s_at"	93164
"220244_at"	29931
"208645_s_at"	6208
"217298_at"	6208
"214245_at"	6208
"219043_s_at"	285359
"216228_s_at"	11169
"204728_s_at"	11169
"204727_at"	11169
"201909_at"	6192
"215925_s_at"	971
"217141_at"	55727
"220297_at"	55727
"206476_s_at"	4858
"206477_s_at"	4858
"220887_at"	NA
"202181_at"	9766
"201177_s_at"	NA
"200763_s_at"	NA
"219614_s_at"	54716
"202581_at"	3303
"202581_at"	3304
"219929_s_at"	79038
"216106_at"	NA
"220711_at"	9794
"202360_at"	9794
"206480_at"	9794
"218508_at"	55802
"206094_x_at"	54575
"208596_s_at"	54575
"215125_s_at"	54575
"204532_x_at"	54575
"207126_x_at"	54575
"203782_s_at"	5442
"203783_x_at"	5442
"213103_at"	90627
"202803_s_at"	3689
"220307_at"	51744
"209184_s_at"	NA
"209185_s_at"	NA
"209344_at"	NA
"212481_s_at"	NA
"203108_at"	9052
"212444_at"	9052
"221069_s_at"	51204
"202205_at"	7408
"205315_s_at"	6645
"217940_s_at"	NA
"203675_at"	4925
"208410_x_at"	265
"209026_x_at"	NA
"200909_s_at"	6181
"200909_s_at"	619565
"218937_at"	54925
"220292_at"	54925
"208854_s_at"	8428
"208855_s_at"	8428
"215188_at"	8428
"222001_x_at"	728875
"207157_s_at"	2787
"201408_at"	5500
"201407_s_at"	5500
"201409_s_at"	5500
"212789_at"	23310
"208549_x_at"	NA
"206630_at"	NA
"217155_at"	NA
"207458_at"	78998
"220394_at"	26281
"210757_x_at"	1601
"201280_s_at"	1601
"201279_s_at"	1601
"201278_at"	1601
"200091_s_at"	6230
"220150_s_at"	79632
"200705_s_at"	NA
"210339_s_at"	3817
"209855_s_at"	3817
"209854_s_at"	3817
"219065_s_at"	51072
"209461_x_at"	57418
"212557_at"	26036
"215012_at"	26036
"216593_s_at"	NA
"218096_at"	55326
"219612_s_at"	2266
"207103_at"	3751
"206094_x_at"	54600
"208596_s_at"	54600
"221305_s_at"	54600
"215125_s_at"	54600
"204532_x_at"	54600
"207126_x_at"	54600
"217340_at"	NA
"213236_at"	23328
"41644_at"	23328
"216045_at"	9720
"213510_x_at"	9720
"219039_at"	54910
"46665_at"	54910
"221330_at"	1129
"208929_x_at"	NA
"212734_x_at"	NA
"212191_x_at"	NA
"212266_s_at"	6430
"203380_x_at"	6430
"210077_s_at"	6430
"204856_at"	10331
"200688_at"	NA
"217813_s_at"	10927
"204169_at"	3614
"221256_s_at"	81932
"217945_at"	53339
"206344_at"	5444
"206345_s_at"	5444
"203805_s_at"	2175
"203806_s_at"	2175
"215530_at"	2175
"210206_s_at"	NA
"208149_x_at"	NA
"213378_s_at"	NA
"207842_s_at"	22794
"218924_s_at"	1486
"218923_at"	1486
"211790_s_at"	8085
"219322_s_at"	49856
"201596_x_at"	NA
"208856_x_at"	NA
"201033_x_at"	NA
"211720_x_at"	NA
"221547_at"	8559
"220755_s_at"	50854
"211050_x_at"	NA
"207246_at"	7544
"207247_s_at"	7544
"221334_s_at"	50943
"221333_at"	50943
"216413_at"	NA
"200769_s_at"	4144
"200768_s_at"	4144
"218484_at"	56901
"217783_s_at"	51646
"203965_at"	10868
"203901_at"	10454
"220845_at"	55289
"218960_at"	56649
"216577_at"	NA
"215780_s_at"	NA
"200630_x_at"	NA
"210231_x_at"	NA
"218060_s_at"	79650
"219900_s_at"	55663
"205182_s_at"	55663
"206094_x_at"	54577
"208596_s_at"	54577
"215125_s_at"	54577
"204532_x_at"	54577
"207126_x_at"	54577
"203514_at"	4215
"213887_s_at"	5434
"217854_s_at"	5434
"201035_s_at"	3033
"211569_s_at"	3033
"201036_s_at"	3033
"210305_at"	NA
"221119_at"	54848
"208329_at"	59351
"214356_s_at"	23392
"212427_at"	23392
"212428_at"	23392
"206726_at"	27306
"204076_at"	9583
"204077_x_at"	9583
"201088_at"	3838
"211762_s_at"	3838
"202497_x_at"	6515
"202498_s_at"	6515
"202499_s_at"	6515
"216236_s_at"	6515
"222088_s_at"	6515
"202022_at"	230
"220263_at"	9597
"207428_x_at"	984
"215329_s_at"	984
"210474_s_at"	984
"212401_s_at"	984
"211289_x_at"	984
"217322_x_at"	NA
"203430_at"	23593
"209206_at"	100996517
"209207_s_at"	100996517
"219868_s_at"	51479
"217520_x_at"	646278
"206303_s_at"	NA
"206302_s_at"	NA
"214572_s_at"	3640
"214400_at"	3640
"219327_s_at"	55890
"217809_at"	28969
"207551_s_at"	10943
"214009_at"	10943
"209824_s_at"	406
"210971_s_at"	406
"220153_at"	57089
"221614_s_at"	9501
"207429_at"	6582
"209764_at"	4248
"208058_s_at"	4248
"220668_s_at"	1789
"218962_s_at"	64418
"212858_at"	124222
"222197_s_at"	NA
"215112_x_at"	23101
"204685_s_at"	491
"216120_s_at"	491
"211586_s_at"	491
"201208_s_at"	7126
"201207_at"	7126
"208596_s_at"	54578
"206094_x_at"	54578
"215125_s_at"	54578
"204532_x_at"	54578
"207126_x_at"	54578
"209929_s_at"	NA
"36004_at"	NA
"214524_at"	2691
"220534_at"	440040
"214658_at"	51014
"209404_s_at"	51014
"214658_at"	100302736
"209404_s_at"	100302736
"209286_at"	10602
"209287_s_at"	10602
"209288_s_at"	10602
"215195_at"	5578
"213093_at"	5578
"206923_at"	5578
"218803_at"	55743
"207149_at"	1010
"221689_s_at"	51227
"221456_at"	50831
"221392_at"	50832
"217916_s_at"	51571
"217534_at"	51571
"221664_s_at"	50848
"222354_at"	50848
"206480_at"	4056
"214402_s_at"	9814
"36545_s_at"	9814
"215699_x_at"	9814
"213431_x_at"	9814
"200077_s_at"	4946
"215952_s_at"	4946
"217773_s_at"	4697
"213695_at"	5446
"203279_at"	9695
"221285_at"	8128
"221586_s_at"	1875
"220585_at"	80201
"221516_s_at"	54471
"204593_s_at"	54471
"204594_s_at"	54471
"215856_at"	284266
"209230_s_at"	26471
"218250_s_at"	29883
"204844_at"	2028
"204845_s_at"	2028
"208536_s_at"	10018
"222343_at"	10018
"219540_at"	10308
"218587_s_at"	56983
"200087_s_at"	10959
"204426_at"	10959
"204427_s_at"	10959
"201740_at"	4722
"210424_s_at"	100302160
"210424_s_at"	100422845
"207748_at"	NA
"206094_x_at"	54579
"208596_s_at"	54579
"215125_s_at"	54579
"204532_x_at"	54579
"207126_x_at"	54579
"218103_at"	117246
"214173_x_at"	8725
"211563_s_at"	8725
"210157_at"	8725
"220250_at"	729288
"217399_s_at"	729288
"212990_at"	8867
"207594_s_at"	8867
"212502_at"	84890
"212500_at"	84890
"213517_at"	NA
"202483_s_at"	5902
"202482_x_at"	5902
"203019_x_at"	117178
"203016_s_at"	117178
"203015_s_at"	117178
"203017_s_at"	117178
"210871_x_at"	117178
"203018_s_at"	117178
"218015_s_at"	56897
"203754_s_at"	2972
"215677_s_at"	2972
"215676_at"	2972
"219529_at"	9022
"208062_s_at"	9542
"206879_s_at"	9542
"216119_s_at"	25876
"205283_at"	2218
"221664_s_at"	NA
"200076_s_at"	79036
"214006_s_at"	2677
"205351_at"	2677
"214005_at"	2677
"203606_at"	4726
"211915_s_at"	NA
"218616_at"	57117
"219562_at"	25837
"50965_at"	25837
"208081_s_at"	79973
"221163_s_at"	51085
"206094_x_at"	54657
"208596_s_at"	54657
"215125_s_at"	54657
"204532_x_at"	54657
"207126_x_at"	54657
"211476_at"	51778
"213782_s_at"	51778
"207148_x_at"	51778
"205621_at"	8846
"48117_at"	112869
"221822_at"	112869
"221011_s_at"	81606
"219085_s_at"	284352
"213751_at"	284352
"209122_at"	123
"209122_at"	100509484
"209124_at"	4615
"222278_at"	NA
"214144_at"	NA
"203664_s_at"	NA
"217049_x_at"	27328
"211227_s_at"	27328
"210292_s_at"	27328
"217049_x_at"	83259
"211227_s_at"	83259
"210292_s_at"	83259
"218845_at"	56940
"218845_at"	100653247
"217027_x_at"	NA
"204154_at"	1036
"202951_at"	11329
"218167_at"	51321
"220459_at"	114044
"201682_at"	9512
"218400_at"	4940
"204952_at"	27076
"221184_at"	NA
"206522_at"	8972
"217129_at"	NA
"214712_at"	440352
"214712_at"	100507803
"214712_at"	100509487
"214712_at"	100996277
"214712_at"	101060649
"214712_at"	101060652
"220638_s_at"	23624
"206109_at"	2523
"209674_at"	1407
"200786_at"	5695
"201241_at"	1653
"214449_s_at"	NA
"212117_at"	NA
"219627_at"	79970
"208834_x_at"	6147
"213084_x_at"	6147
"208825_x_at"	6147
"208834_x_at"	26809
"213084_x_at"	26809
"208825_x_at"	26809
"206094_x_at"	54659
"208596_s_at"	54659
"215125_s_at"	54659
"204532_x_at"	54659
"207126_x_at"	54659
"206000_at"	4224
"203643_at"	2077
"201315_x_at"	10581
"214022_s_at"	10581
"213324_at"	6714
"221284_s_at"	6714
"220804_s_at"	7161
"213971_s_at"	23512
"212287_at"	23512
"220772_at"	60467
"202788_at"	7867
"202787_s_at"	7867
"220167_s_at"	24150
"220167_s_at"	653550
"220167_s_at"	729264
"220167_s_at"	729355
"200674_s_at"	6161
"211681_s_at"	10611
"203243_s_at"	10611
"216804_s_at"	10611
"203242_s_at"	10611
"212412_at"	10611
"221994_at"	10611
"213684_s_at"	10611
"211680_at"	10611
"213189_at"	84864
"213188_s_at"	84864
"212785_s_at"	51574
"200983_x_at"	966
"200984_s_at"	966
"200985_s_at"	966
"216473_x_at"	554045
"218557_at"	56954
"204355_at"	100302232
"212674_s_at"	100302232
"218998_at"	54942
"207384_at"	8993
"218575_at"	64682
"218575_at"	730268
"215428_at"	NA
"206361_at"	NA
"214789_x_at"	NA
"213152_s_at"	NA
"203269_at"	8439
"203336_s_at"	9270
"203337_x_at"	9270
"211996_s_at"	440345
"221803_s_at"	29982
"219879_s_at"	78995
"216422_at"	NA
"205876_at"	3977
"222114_x_at"	54853
"219809_at"	54853
"206094_x_at"	54658
"208596_s_at"	54658
"215125_s_at"	54658
"204532_x_at"	54658
"207126_x_at"	54658
"214228_x_at"	7293
"207120_at"	63934
"220607_x_at"	51497
"205189_s_at"	2176
"210574_s_at"	NA
"201173_x_at"	NA
"214022_s_at"	8519
"201601_x_at"	8519
"215861_at"	NA
"212705_x_at"	57104
"39854_r_at"	57104
"222056_s_at"	151313
"222055_at"	151313
"215024_at"	NA
"207374_at"	57047
"206629_at"	9719
"206629_at"	100996396
"217588_at"	117155
"203117_s_at"	9924
"209796_s_at"	9924
"200060_s_at"	10921
"207939_x_at"	10921
"218637_at"	55364
"218836_at"	202658
"212437_at"	1059
"221125_s_at"	27094
"216775_at"	54532
"201185_at"	5654
"221433_at"	26291
"217249_x_at"	NA
"216585_at"	NA
"221425_s_at"	NA
"209273_s_at"	NA
"215267_s_at"	6543
"220276_at"	79785
"215256_x_at"	115703
"213827_at"	115703
"217100_s_at"	26043
"212840_at"	26043
"220816_at"	23566
"200763_s_at"	6176
"218836_at"	79897
"202715_at"	790
"208585_at"	54718
"203672_x_at"	7172
"203671_at"	7172
"200779_at"	468
"220912_at"	NA
"201004_at"	6748
"202173_s_at"	NA
"206918_s_at"	8904
"219733_s_at"	10998
"203189_s_at"	4728
"203190_at"	4728
"203189_s_at"	100616403
"203190_at"	100616403
"221311_x_at"	57226
"215780_s_at"	6418
"200631_s_at"	6418
"213047_x_at"	6418
"200630_x_at"	6418
"210231_x_at"	6418
"40189_at"	6418
"200725_x_at"	NA
"203969_at"	NA
"209836_x_at"	NA
"210396_s_at"	NA
"206404_at"	2254
"219274_at"	23554
"207724_s_at"	6683
"209748_at"	6683
"212954_at"	8798
"202814_s_at"	10614
"202815_s_at"	10614
"221972_s_at"	51150
"217855_x_at"	51150
"200036_s_at"	NA
"219100_at"	79991
"210444_at"	4888
"209339_at"	6478
"215991_s_at"	23065
"212395_s_at"	23065
"212396_s_at"	23065
"212394_at"	23065
"205801_s_at"	25780
"222128_at"	NA
"206357_at"	80207
"209466_x_at"	5764
"211737_x_at"	5764
"209465_x_at"	5764
"205928_at"	90576
"213934_s_at"	NA
"218657_at"	51195
"217958_at"	51399
"217959_s_at"	51399
"217958_at"	100500840
"217959_s_at"	100500840
"209691_s_at"	55715
"209690_s_at"	55715
"207747_s_at"	55715
"205699_at"	5608
"205698_s_at"	5608
"216184_s_at"	22999
"209925_at"	NA
"205878_at"	5463
"216330_s_at"	5463
"201032_at"	10904
"215321_at"	154661
"220446_s_at"	NA
"215145_s_at"	26047
"219300_s_at"	26047
"219301_s_at"	26047
"219302_s_at"	26047
"218311_at"	8491
"217122_s_at"	728661
"207248_at"	3739
"204931_at"	6943
"202257_s_at"	10421
"202256_at"	10421
"217899_at"	54867
"203614_at"	9724
"221513_s_at"	9724
"210603_at"	84779
"209265_s_at"	56339
"213653_at"	56339
"205773_at"	22849
"215129_at"	5288
"204525_at"	9678
"220687_at"	NA
"AFFX-HUMRGE/M10098_5_at"	100008588
"AFFX-HUMRGE/M10098_3_at"	100008588
"AFFX-HUMRGE/M10098_M_at"	100008588
"200991_s_at"	9784
"203491_s_at"	9702
"203494_s_at"	9702
"203492_x_at"	9702
"209862_s_at"	9702
"203493_s_at"	9702
"219714_s_at"	55799
"217499_x_at"	100506759
"203576_at"	587
"215654_at"	587
"214395_x_at"	NA
"218726_at"	55355
"214489_at"	2488
"206806_at"	9162
"200889_s_at"	6745
"200890_s_at"	6745
"200891_s_at"	6745
"201894_s_at"	6745
"209134_s_at"	NA
"221763_at"	221037
"AFFX-M27830_M_at"	100008589
"AFFX-M27830_5_at"	100008589
"AFFX-M27830_M_at"	100861532
"AFFX-M27830_5_at"	100861532
"209529_at"	8612
"214723_x_at"	375248
"214723_x_at"	400986
"221049_s_at"	27343
"202021_x_at"	10209
"212130_x_at"	10209
"212227_x_at"	10209
"212225_at"	10209
"211956_s_at"	10209
"213510_x_at"	220594
"219892_at"	53346
"210100_s_at"	20
"212772_s_at"	20
"204512_at"	3096
"202054_s_at"	224
"210544_s_at"	224
"202053_s_at"	224
"205192_at"	NA
"221699_s_at"	79009
"221401_at"	27091
"207302_at"	6445
"210165_at"	1773
"219050_s_at"	741
"218285_s_at"	56898
"203378_at"	NA
"218843_at"	64838
"208662_s_at"	7267
"208663_s_at"	7267
"208661_s_at"	7267
"210645_s_at"	7267
"208073_x_at"	7267
"208664_s_at"	7267
"208662_s_at"	286495
"208663_s_at"	286495
"208661_s_at"	286495
"210645_s_at"	286495
"208073_x_at"	286495
"208664_s_at"	286495
"213843_x_at"	NA
"210854_x_at"	NA
"215812_s_at"	NA
"220572_at"	100506282
"216488_s_at"	NA
"206236_at"	2828
"211266_s_at"	2828
"202436_s_at"	1545
"202434_s_at"	1545
"202435_s_at"	1545
"202437_s_at"	1545
"220354_at"	NA
"211050_x_at"	100288069
"206943_at"	7046
"213074_at"	55023
